name                    license type        link                                                              installed version  author
----                    ------------        ----                                                              -----------------  ------
@hapi/boom              BSD-3-Clause        git://github.com/hapijs/boom.git                                  9.1.4              n/a
@hapi/cookie            BSD-3-Clause        git://github.com/hapijs/hapi-auth-cookie.git                      11.0.2             n/a
@hapi/crumb             BSD-3-Clause        git://github.com/hapijs/crumb.git                                 8.0.1              n/a
@hapi/hapi              BSD-3-Clause        git://github.com/hapijs/hapi.git                                  20.2.1             n/a
@hapi/inert             BSD-3-Clause        git+https://github.com/hapijs/inert.git                           6.0.4              n/a
@hapi/vision            BSD-3-Clause        git://github.com/hapijs/vision.git                                6.1.0              n/a
@phc/pbkdf2             MIT                 git+https://github.com/simonepri/phc-pbkdf2.git                   1.1.14             Simone Primarosa
bull                    MIT                 git://github.com/OptimalBits/bull.git                             4.1.1              OptimalBits
bull-arena              MIT                 git+https://github.com/bee-queue/arena.git                        3.29.3             Mixmax
dotenv                  BSD-2-Clause        git://github.com/motdotla/dotenv.git                              10.0.0             n/a
exponential-backoff     Apache-2.0          git+https://github.com/coveo/exponential-backoff.git              3.1.0              Sami Sayegh
express                 MIT                 git+https://github.com/expressjs/express.git                      4.17.1             TJ Holowaychuk
google-auth-library     Apache-2.0          git+https://github.com/googleapis/google-auth-library-nodejs.git  7.10.2             Google Inc.
handlebars              MIT                 git+https://github.com/wycats/handlebars.js.git                   4.7.7              Yehuda Katz
hapi-auth-bearer-token  MIT                 git://github.com/johnbrett/hapi-auth-bearer-token.git             8.0.0              John Brett
hapi-pino               MIT                 git+https://github.com/pinojs/hapi-pino.git                       9.0.0              David Mark Clements
hapi-swagger            MIT                 git://github.com/glennjones/hapi-swagger.git                      14.2.4             Glenn Jones
he                      MIT                 git+https://github.com/mathiasbynens/he.git                       1.2.0              Mathias Bynens
html-to-text            MIT                 git://github.com/html-to-text/node-html-to-text.git               8.1.0              Malte Legenhausen
humanize                n/a                 git://github.com/taijinlee/humanize.git                           0.0.9              Tai-Jin Lee
imapflow                MIT                 git+https://github.com/postalsys/imapflow.git                     1.0.78             Postal Systems OÜ
ioredis                 MIT                 git://github.com/luin/ioredis.git                                 4.28.1             luin
joi                     BSD-3-Clause        git://github.com/sideway/joi.git                                  17.4.2             n/a
jquery                  MIT                 git+https://github.com/jquery/jquery.git                          3.6.0              OpenJS Foundation and other contributors
libmime                 MIT                 git://github.com/andris9/libmime.git                              5.0.0              Andris Reinman
linkifyjs               MIT                 git+https://github.com/SoapBox/linkifyjs.git                      2.1.9              Hypercontext
mailparser              MIT                 git+https://github.com/nodemailer/mailparser.git                  3.4.0              Andris Reinman
mailsplit               (MIT OR EUPL-1.1+)  git+https://github.com/andris9/mailsplit.git                      5.3.1              Andris Reinman
msgpack5                MIT                 git://github.com/mcollina/msgpack5.git                            5.3.2              Matteo collina
node-fetch              MIT                 git+https://github.com/bitinn/node-fetch.git                      2.6.6              David Frank
node-vault              MIT                 git://github.com/kr1sp1n/node-vault.git                           0.9.22             kr1sp1n
nodemailer              MIT                 git+https://github.com/nodemailer/nodemailer.git                  6.7.2              Andris Reinman
pino                    MIT                 git+https://github.com/pinojs/pino.git                            7.4.1              Matteo Collina
prom-client             Apache-2.0          git+ssh://git@github.com/siimon/prom-client.git                   14.0.1             Simon Nyberg
psl                     MIT                 git+ssh://git@github.com/lupomontero/psl.git                      1.8.0              Lupo Montero
pubface                 MIT                 https://github.com/postalsys/pubface/issues                       1.0.2              Postal Systems OÜ
punycode                MIT                 git+https://github.com/bestiejs/punycode.js.git                   2.1.1              Mathias Bynens
smtp-server             MIT                 git://github.com/andris9/smtp-server.git                          3.9.0              Andris Reinman
socks                   MIT                 git+https://github.com/JoshGlazebrook/socks.git                   2.6.1              Josh Glazebrook
uuid                    MIT                 git+https://github.com/uuidjs/uuid.git                            8.3.2              n/a
wild-config             MIT                 git+https://github.com/wildduck-email/wild-config.git             1.5.1              Andris Reinman
xml2js                  MIT                 git+https://github.com/Leonidas-from-XIV/node-xml2js.git          0.4.23             Marek Kubica
yargs                   MIT                 git+https://github.com/yargs/yargs.git                            17.2.1             n/a
